rep	start_1m	start_5m	start_15m	end_1m	end_5m	end_15m
rep-01	1.140625	0.62255859375	1.23193359375	4.26318359375	2.828125	1.966796875
rep-02	4.26318359375	2.828125	1.966796875	3.68701171875	3.0732421875	2.3212890625
rep-03	3.68701171875	3.0732421875	2.3212890625	3.49658203125	3.47265625	2.78857421875
