rep	start_1m	start_5m	start_15m	end_1m	end_5m	end_15m
rep-02	2.2333984375	3.71533203125	4.2197265625	3.63427734375	3.21875	3.763671875
rep-03	3.63427734375	3.21875	3.763671875	3.4599609375	3.4365234375	3.67333984375
rep-04	3.4599609375	3.4365234375	3.67333984375	3.6650390625	3.47021484375	3.6181640625
rep-05	3.6650390625	3.47021484375	3.6181640625	3.4345703125	3.720703125	3.71484375
rep-06	3.3740234375	3.697265625	3.70751953125	12.66552734375	5.59912109375	4.26220703125
